[2023-10-02 10:16:39,426] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,430] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,436] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,440] INFO [Broker id=0] Leader pranav-0 with topic id Some(be2z4iZVT_qC-7vJP3LYSQ) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,441] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,445] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,446] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,450] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,455] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,459] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,464] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
